Track,Artist,Album,Album_type,Licensed,official_video
Feel Good Inc.,Gorillaz,Demon Days,album,True,True
Rhinestone Eyes,Gorillaz,Plastic Beach,album,True,True
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),single,True,True
On Melancholy Hill,Gorillaz,Plastic Beach,album,True,True
Clint Eastwood,Gorillaz,Gorillaz,album,True,True
DARE,Gorillaz,Demon Days,album,True,True
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,False,True
She's My Collar (feat. Kali Uchis),Gorillaz,Humanz (Deluxe),album,False,False
Cracker Island (feat. Thundercat),Gorillaz,Cracker Island (feat. Thundercat),single,True,True
Dirty Harry,Gorillaz,Demon Days,album,True,True
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),album,True,True
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),album,True,True
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),album,True,True
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),album,True,True
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),album,True,True
Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,album,True,True
Dani California,Red Hot Chili Peppers,Stadium Arcadium,album,True,True
By the Way,Red Hot Chili Peppers,By the Way (Deluxe Edition),album,True,True
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),album,True,True
Dark Necessities,Red Hot Chili Peppers,The Getaway,album,True,True
In Da Club,50 Cent,Get Rich Or Die Tryin',album,True,True
Candy Shop,50 Cent,The Massacre,album,True,True
Just A Lil Bit,50 Cent,The Massacre,album,True,True
P.I.M.P.,50 Cent,Get Rich Or Die Tryin',album,True,True
Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',album,True,True
Disco Inferno,50 Cent,The Massacre,album,True,True
21 Questions,50 Cent,Get Rich Or Die Tryin',album,True,True
Is This Love ('09) (feat. 50 Cent),50 Cent,Curtain Call 2,album,True,True
If I Can't,50 Cent,Get Rich Or Die Tryin',album,False,False
Best Friend - Remix,50 Cent,Best Friend (Remix),single,False,False
Enter Sandman (Remastered),Metallica,Metallica (Remastered),album,True,True
Nothing Else Matters (Remastered),Metallica,Metallica (Remastered),album,True,True
Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),album,True,True
Whiskey In The Jar,Metallica,"Garage, Inc.",album,False,False
The Unforgiven (Remastered),Metallica,Metallica (Remastered),album,False,False
One (Remastered),Metallica,...And Justice for All (Remastered Deluxe Box Set),album,False,False
For Whom The Bell Tolls (Remastered),Metallica,Ride The Lightning (Deluxe Remaster),album,True,True
Lux Æterna,Metallica,Lux Æterna,single,True,True
Sad But True (Remastered),Metallica,Metallica (Remastered),album,True,True
Screaming Suicide,Metallica,Screaming Suicide,single,True,True
Yellow,Coldplay,Parachutes,album,True,True
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,album,True,True
Sparks,Coldplay,Parachutes,album,True,True
Something Just Like This,Coldplay,Memories...Do Not Open,album,True,True
The Scientist,Coldplay,A Rush of Blood to the Head,album,True,True
A Sky Full of Stars,Coldplay,Ghost Stories,album,True,True
Paradise,Coldplay,Mylo Xyloto,album,True,True
Hymn for the Weekend,Coldplay,A Head Full of Dreams,album,True,True
My Universe,Coldplay,Music Of The Spheres,album,True,True
Fix You,Coldplay,X&Y,album,True,True
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],single,False,False
One More Time,Daft Punk,Discovery,album,True,True
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,album,True,True
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,Random Access Memories,album,False,False
Around the World,Daft Punk,Homework,album,True,True
"Harder, Better, Faster, Stronger",Daft Punk,Discovery,album,True,True
Something About Us,Daft Punk,Discovery,album,True,True
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,album,True,True
Veridis Quo,Daft Punk,Discovery,album,True,True
Digital Love,Daft Punk,Discovery,album,True,True
In the End,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
Numb,Linkin Park,Meteora,album,True,True
What I've Done,Linkin Park,Minutes to Midnight,album,True,True
Numb / Encore,Linkin Park,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,True,True
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
Faint,Linkin Park,Meteora,album,True,True
Bleed It Out,Linkin Park,Minutes to Midnight,album,True,True
Papercut,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
BURN IT DOWN,Linkin Park,LIVING THINGS,album,True,True
Creep,Radiohead,Pablo Honey,album,True,True
No Surprises,Radiohead,OK Computer,album,True,True
Karma Police,Radiohead,OK Computer,album,True,True
High and Dry,Radiohead,The Bends,album,False,False
Exit Music (For A Film),Radiohead,OK Computer,album,True,True
Weird Fishes/ Arpeggi,Radiohead,In Rainbows,album,False,True
Jigsaw Falling Into Place,Radiohead,In Rainbows,album,True,True
Fake Plastic Trees,Radiohead,The Bends,album,True,True
Just,Radiohead,The Bends,album,True,True
Nude,Radiohead,In Rainbows,album,True,True
Highway to Hell,AC/DC,Highway to Hell,album,True,True
Thunderstruck,AC/DC,The Razors Edge,album,True,True
Back In Black,AC/DC,Back In Black,album,True,True
You Shook Me All Night Long,AC/DC,Back In Black,album,True,True
T.N.T.,AC/DC,High Voltage,album,True,True
Hells Bells,AC/DC,Back In Black,album,True,True
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,album,True,True
Shoot to Thrill,AC/DC,Back In Black,album,True,True
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,album,False,False
Rock N Roll Train,AC/DC,Black Ice,album,True,True
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),album,True,True
DON'T YOU WORRY,Black Eyed Peas,ELEVATION,album,True,True
Where Is The Love?,Black Eyed Peas,Elephunk,album,True,True
Just Can’t Get Enough,Black Eyed Peas,The Beginning,album,True,True
GIRL LIKE ME,Black Eyed Peas,TRANSLATION,album,True,True
Pump It,Black Eyed Peas,Monkey Business,album,True,True
Pump It Louder,Black Eyed Peas,Pump It Louder,single,True,True
Meet Me Halfway,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),album,True,True
RITMO (Bad Boys For Life),Black Eyed Peas,TRANSLATION,album,True,True
SIMPLY THE BEST,Black Eyed Peas,ELEVATION,album,True,True
Billie Jean,Michael Jackson,Thriller,album,True,True
Chicago,Michael Jackson,XSCAPE,album,False,False
Beat It,Michael Jackson,Thriller,album,True,True
Smooth Criminal - 2012 Remaster,Michael Jackson,Bad (Remastered),album,False,False
Rock with You - Single Version,Michael Jackson,Off the Wall,album,True,True
Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall,album,True,True
They Don't Care About Us,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,True,True
Remember the Time,Michael Jackson,Dangerous,album,True,True
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,Bad (Remastered),album,True,True
Love Never Felt So Good,Michael Jackson,XSCAPE,album,True,True
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,album,True,True
Never Gonna Not Dance Again,P!nk,Never Gonna Not Dance Again,single,True,True
Raise Your Glass,P!nk,Raise Your Glass,single,True,True
Try,P!nk,The Truth About Love,album,True,True
So What,P!nk,Funhouse (Expanded Edition),album,True,True
What About Us,P!nk,Beautiful Trauma,album,True,True
Cover Me In Sunshine,P!nk,All I Know So Far: Setlist,album,True,True
TRUSTFALL,P!nk,TRUSTFALL,single,True,True
Who Knew,P!nk,I'm Not Dead,album,True,True
True Love (feat. Lily Allen),P!nk,The Truth About Love,album,True,True
Mockingbird,Eminem,Encore (Deluxe Version),album,True,True
Without Me,Eminem,The Eminem Show,album,True,True
The Real Slim Shady,Eminem,The Marshall Mathers LP,album,True,True
Superman,Eminem,The Eminem Show,album,True,True
Till I Collapse,Eminem,The Eminem Show,album,False,False
Stan,Eminem,The Marshall Mathers LP,album,True,True
Love The Way You Lie,Eminem,Recovery,album,True,True
Godzilla (feat. Juice WRLD),Eminem,Music To Be Murdered By,album,False,False
Sing For The Moment,Eminem,The Eminem Show,album,True,True
Not Afraid,Eminem,Recovery,album,True,True
"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,album,True,True
Down In Atlanta,Pharrell Williams,Down In Atlanta,single,True,True
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Pharrell Williams,Funk Wav Bounces Vol.1,album,True,True
Cash In Cash Out,Pharrell Williams,Cash In Cash Out,single,True,True
"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Pharrell Williams,Funk Wav Bounces Vol. 2,album,True,True
Hit Different,Pharrell Williams,Hit Different,single,True,True
Neon Guts (feat. Pharrell Williams),Pharrell Williams,Luv Is Rage 2,album,True,True
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),Pharrell Williams,CALL ME IF YOU GET LOST,album,False,True
Just A Cloud Away,Pharrell Williams,Just A Cloud Away,single,True,True
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,The Neptunes Present... Clones,album,True,True
lovely (with Khalid),Khalid,lovely (with Khalid),single,True,True
Numb,Khalid,Numb,single,True,True
Silence,Khalid,Silence,single,False,True
Young Dumb & Broke,Khalid,American Teen,album,True,True
Eastside (with Halsey & Khalid),Khalid,FRIENDS KEEP SECRETS,album,False,True
Better,Khalid,Suncity,album,True,True
Location,Khalid,American Teen,album,True,True
8TEEN,Khalid,American Teen,album,True,True
Beautiful People (feat. Khalid),Khalid,No.6 Collaborations Project,album,True,True
Love Lies (with Normani),Khalid,Love Lies (with Normani),single,True,True
"Shakira: Bzrp Music Sessions, Vol. 53",Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",single,True,True
Monotonía,Shakira,Monotonía,single,True,True
Te Felicito,Shakira,Te Felicito,single,True,True
Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",album,True,True
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,Listen Up! The Official 2010 FIFA World Cup Album,compilation,True,True
DON'T YOU WORRY,Shakira,ELEVATION,album,True,True
Dia de Enero,Shakira,"Fijación Oral, Vol. 1",album,True,True
Chantaje (feat. Maluma),Shakira,El Dorado,album,True,True
Inevitable,Shakira,Donde Estan Los Ladrones,album,True,True
Antologia,Shakira,Pies Descalzos,album,False,False
my ex's best friend (with blackbear),Machine Gun Kelly,Tickets To My Downfall,album,True,True
I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,Hotel Diablo,album,True,True
maybe (feat. Bring Me The Horizon),Machine Gun Kelly,mainstream sellout,album,True,True
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",single,True,True
forget me too (feat. Halsey),Machine Gun Kelly,Tickets To My Downfall,album,True,True
bloody valentine,Machine Gun Kelly,Tickets To My Downfall,album,True,True
Bad Things (with Camila Cabello),Machine Gun Kelly,bloom,album,True,True
make up sex (feat. blackbear),Machine Gun Kelly,mainstream sellout,album,True,True
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",Machine Gun Kelly,F*CK LOVE 3+: OVER YOU,album,True,True
ay! (feat. Lil Wayne),Machine Gun Kelly,mainstream sellout,album,True,True
X,Nicky Jam,Intimo,album,True,True
El Perdón (with Enrique Iglesias),Nicky Jam,Fénix,album,True,True
Bella y Sensual,Nicky Jam,Golden,album,True,True
"Nicky Jam: Bzrp Music Sessions, Vol. 41",Nicky Jam,"Nicky Jam: Bzrp Music Sessions, Vol. 41",single,False,False
Cuaderno,Nicky Jam,Climaxxx,album,True,True
En La Cama (feat. Daddy Yankee),Nicky Jam,Exitos,album,True,True
Si Te Preguntan...,Nicky Jam,Si Te Preguntan...,single,True,True
Hasta el Amanecer,Nicky Jam,Fénix,album,True,True
Color Esperanza 2020,Nicky Jam,Color Esperanza 2020,single,False,False
Donde Estan las Gatas,Nicky Jam,Gargolas 3,album,False,False
Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),album,True,True
Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),album,True,True
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),album,True,True
Yesterday - Remastered 2009,The Beatles,Help! (Remastered),album,True,True
Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),album,True,True
Blackbird - Remastered 2009,The Beatles,The Beatles (Remastered),album,True,True
In My Life - Remastered 2009,The Beatles,Rubber Soul (Remastered),album,True,True
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),album,True,True
I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),album,True,True
Something - Remastered 2009,The Beatles,Abbey Road (Remastered),album,True,True
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,Planet Pit (Deluxe Version),album,True,True
Timber (feat. Ke$ha),Pitbull,Global Warming: Meltdown (Deluxe Version),album,True,True
Time of Our Lives,Pitbull,Globalization,album,True,True
Feel This Moment (feat. Christina Aguilera),Pitbull,Global Warming: Meltdown (Deluxe Version),album,True,True
International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),album,True,True
Fireball (feat. John Ryan),Pitbull,Globalization,album,True,True
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Pitbull,Globalization,album,True,True
Hotel Room Service,Pitbull,Pitbull Starring In Rebelution,album,True,True
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,Planet Pit (Deluxe Version),album,True,True
HOT,Pitbull,LEGENDADDY,album,False,True
No Lie,Sean Paul,Mad Love The Prequel,album,True,True
Temperature,Sean Paul,The Trinity,album,True,True
Go Down Deh (feat. Shaggy and Sean Paul),Sean Paul,10,album,True,True
Get Busy,Sean Paul,Dutty Rock (20th Anniversary),album,True,True
She Doesn't Mind,Sean Paul,Tomahawk Technique,album,True,True
Give It Up to Me,Sean Paul,The Trinity,album,True,True
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul,Only Hits,compilation,True,True
I'm Still in Love with You (feat. Sasha),Sean Paul,Dutty Rock (20th Anniversary),album,True,True
UP,Sean Paul,UP,single,True,True
Contra La Pared,Sean Paul,Contra La Pared,single,True,True
Can't Help Falling in Love,Elvis Presley,Blue Hawaii,album,True,True
Blue Christmas,Elvis Presley,Elvis' Christmas Album,album,True,True
Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,Elvis' Christmas Album,album,True,True
Suspicious Minds,Elvis Presley,From Elvis in Memphis,album,True,True
Burning Love,Elvis Presley,Elvis (Fool),album,True,True
Always On My Mind,Elvis Presley,Elvis (Fool),album,False,False
If I Can Dream,Elvis Presley,ELVIS (Original Motion Picture Soundtrack),album,True,True
Jailhouse Rock,Elvis Presley,Platinum - A Life In Music,album,False,True
In the Ghetto,Elvis Presley,From Elvis in Memphis,album,False,False
(You're The) Devil in Disguise,Elvis Presley,Elvis 30 #1 Hits (Expanded Edition),album,True,True
Hit 'Em Up - Single Version,2Pac,Greatest Hits,compilation,False,False
Ambitionz Az A Ridah,2Pac,All Eyez On Me,album,False,False
California Love - Original Version,2Pac,Greatest Hits,compilation,False,False
All Eyez On Me (ft. Big Syke),2Pac,All Eyez On Me,album,False,True
Do For Love,2Pac,R U Still Down? [Remember Me],album,False,False
Changes,2Pac,Greatest Hits,compilation,False,False
Dear Mama,2Pac,Me Against The World,album,True,True
Keep Ya Head Up,2Pac,Strictly 4 My N.I.G.G.A.Z...,album,False,False
2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),2Pac,All Eyez On Me,album,False,True
Can't C Me,2Pac,All Eyez On Me,album,False,False
Bad Decisions (with BTS & Snoop Dogg),Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),single,True,True
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,Mac and Devin Go to High School (Music from and Inspired by the Movie),album,False,True
Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,album,True,True
"That's My N**** (with Meek Mill, YG & Snoop Dogg)",Snoop Dogg,"That's My N**** (with Meek Mill, YG & Snoop Dogg) [From Bright: The Album]",single,False,True
From The D 2 The LBC (with Snoop Dogg),Snoop Dogg,Curtain Call 2,album,True,True
Sweat - Remix,Snoop Dogg,Sweat (Snoop Dogg Vs. David Guetta) [Remix],single,True,True
Beautiful,Snoop Dogg,Paid Tha Cost To Be Da Bo$$,album,True,True
I Wanna Fuck You,Snoop Dogg,Sexy Songs 2020,compilation,False,False
Qué Maldición,Snoop Dogg,Qué Maldición,single,True,True
Riders On The Storm - Fredwreck Remix,Snoop Dogg,Riders On The Storm (Fredwreck Remix),single,False,False
Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),album,True,True
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),single,True,True
Mirror,Lil Wayne,Tha Carter IV (Complete Edition),album,True,True
Forever,Lil Wayne,Relapse: Refill,album,True,True
6 Foot 7 Foot,Lil Wayne,Tha Carter IV (Complete Edition),album,True,True
Lollipop,Lil Wayne,Tha Carter III (MTV Bonus Version),album,True,True
A Milli,Lil Wayne,Tha Carter III (MTV Bonus Version),album,True,True
Scared of the Dark (feat. XXXTENTACION),Lil Wayne,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),compilation,False,False
ay! (feat. Lil Wayne),Lil Wayne,mainstream sellout,album,True,True
Right Above It,Lil Wayne,I Am Not A Human Being,album,True,True
Snowman,Sia,Everyday Is Christmas (Deluxe Edition),album,True,True
Unstoppable,Sia,This Is Acting (Deluxe Version),album,True,True
Chandelier,Sia,1000 Forms Of Fear (Deluxe Version),album,True,True
Dusk Till Dawn (feat. Sia) - Radio Edit,Sia,Icarus Falls,album,True,True
Cheap Thrills,Sia,This Is Acting (Deluxe Version),album,True,True
"Genius (feat. Sia, Diplo, and Labrinth)",Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD",album,True,True
Elastic Heart,Sia,1000 Forms Of Fear (Deluxe Version),album,True,True
Unstoppable - R3HAB Remix,Sia,Unstoppable (R3HAB Remix),single,True,True
Del Mar,Sia,ENOC,album,True,True
Santa's Coming for Us,Sia,Everyday Is Christmas (Deluxe Edition),album,True,True
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),album,True,True
The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),album,True,True
Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),album,True,True
Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours,album,True,True
Landslide,Fleetwood Mac,Fleetwood Mac,album,True,True
Don't Stop - 2004 Remaster,Fleetwood Mac,Rumours,album,True,True
Little Lies - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),album,True,True
Rhiannon,Fleetwood Mac,Fleetwood Mac,album,True,True
Gypsy,Fleetwood Mac,Greatest Hits,compilation,True,True
Never Going Back Again - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),album,True,True
Dancing Queen,ABBA,Arrival,album,True,True
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,album,True,True
Mamma Mia,ABBA,Abba,album,True,True
Angeleyes,ABBA,Voulez-Vous,album,False,False
The Winner Takes It All,ABBA,Super Trouper,album,True,True
Take A Chance On Me,ABBA,The Album,album,True,True
Lay All Your Love On Me,ABBA,Super Trouper,album,False,False
Waterloo,ABBA,Waterloo,album,True,True
Chiquitita,ABBA,Voulez-Vous,album,True,True
Super Trouper,ABBA,Super Trouper,album,True,True
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,Christmas Songs by Sinatra,album,True,True
Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sinatra,A Jolly Christmas From Frank Sinatra,album,True,True
Jingle Bells - Remastered 1999,Frank Sinatra,A Jolly Christmas From Frank Sinatra,album,True,True
My Way,Frank Sinatra,My Way (Expanded Edition),album,True,True
Somethin' Stupid,Frank Sinatra,The World We Knew,album,False,False
Santa Claus Is Comin' to Town,Frank Sinatra,Christmas Songs by Sinatra,album,False,False
Fly Me To The Moon (In Other Words),Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,album,True,True
Strangers In The Night,Frank Sinatra,Strangers In The Night (Expanded Edition),album,True,True
That's Life,Frank Sinatra,That's Life,album,False,False
Silent Night - 1999 Remaster,Frank Sinatra,A Jolly Christmas From Frank Sinatra,album,True,True
10:35,Tiësto,10:35,single,True,True
The Motto,Tiësto,The Motto,single,True,True
Don't Be Shy,Tiësto,Don't Be Shy,single,True,True
Lay Low,Tiësto,Lay Low,single,True,True
The Business,Tiësto,The Business,single,True,True
Hot In It,Tiësto,Hot In It,single,True,True
Pump It Louder,Tiësto,Pump It Louder,single,True,True
Another Love - Tiësto Remix,Tiësto,Another Love (Tiësto Remix),single,False,True
Baila Conmigo,Tiësto,Baila Conmigo,single,True,True
Jackie Chan,Tiësto,The London Sessions,album,True,True
Cold Heart - PNAU Remix,Elton John,The Lockdown Sessions,album,True,True
I'm Still Standing,Elton John,Too Low For Zero,album,True,True
Hold Me Closer,Elton John,The Lockdown Sessions,album,True,True
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,album,True,True
Your Song,Elton John,Elton John,album,False,False
Don't Go Breaking My Heart,Elton John,Rock Of The Westies,album,True,True
Tiny Dancer,Elton John,Madman Across The Water,album,True,True
Step Into Christmas,Elton John,Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe),album,True,True
Goodbye Yellow Brick Road - Remastered 2014,Elton John,Goodbye Yellow Brick Road (Remastered),album,True,True
Merry Christmas,Elton John,Merry Christmas,single,True,True
Ni**as In Paris,JAY-Z,Watch The Throne (Deluxe),album,True,True
Empire State Of Mind,JAY-Z,The Blueprint 3,album,True,True
Numb / Encore,JAY-Z,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,False,False
Run This Town,JAY-Z,The Blueprint 3,album,False,False
No Church In The Wild,JAY-Z,Watch The Throne (Deluxe),album,True,True
4:44,JAY-Z,4:44,album,True,True
03' Bonnie & Clyde,JAY-Z,The Blueprint 2: The Gift & The Curse,album,True,True
Otis,JAY-Z,Watch The Throne (Deluxe),album,True,True
Gotta Have It,JAY-Z,Watch The Throne (Deluxe),album,False,False
Love All (with JAY-Z),JAY-Z,Certified Lover Boy,album,False,False
Creepin' (with The Weeknd & 21 Savage),21 Savage,HEROES & VILLAINS,album,True,True
Rich Flex,21 Savage,Her Loss,album,False,False
Jimmy Cooks (feat. 21 Savage),21 Savage,"Honestly, Nevermind",album,False,True
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],21 Savage,HEROES & VILLAINS,album,True,True
Pussy & Millions (feat. Travis Scott),21 Savage,Her Loss,album,False,True
Glock In My Lap,21 Savage,SAVAGE MODE II,album,False,True
On BS,21 Savage,Her Loss,album,False,False
Major Distribution,21 Savage,Her Loss,album,True,True
Spin Bout U,21 Savage,Her Loss,album,False,False
Knife Talk (with 21 Savage ft. Project Pat),21 Savage,Certified Lover Boy,album,True,True
Bound 2,Kanye West,Yeezus,album,True,True
Heartless,Kanye West,808s & Heartbreak,album,True,True
Flashing Lights,Kanye West,Graduation,album,True,True
Ni**as In Paris,Kanye West,Watch The Throne (Deluxe),album,True,True
Father Stretch My Hands Pt. 1,Kanye West,The Life Of Pablo,album,True,True
Stronger,Kanye West,Graduation,album,True,True
I Wonder,Kanye West,Graduation,album,True,True
Violent Crimes,Kanye West,ye,album,False,False
Homecoming,Kanye West,Graduation,album,True,True
Gold Digger,Kanye West,Late Registration,album,True,True
Ahora Te Puedes Marchar,Luis Miguel,Soy Como Quiero Ser,album,True,True
La Incondicional,Luis Miguel,Busca Una Mujer,album,True,True
Hasta Que Me Olvides,Luis Miguel,Aries,album,False,False
La Media Vuelta,Luis Miguel,Segundo Romance,album,True,True
Culpable O No - Miénteme Como Siempre,Luis Miguel,Busca Una Mujer,album,False,False
Por Debajo De La Mesa,Luis Miguel,Romances,album,True,True
Tengo Todo Excepto a Ti,Luis Miguel,20 Años,album,True,True
No Sé Tú,Luis Miguel,Romance,album,True,True
La bikina - En vivo,Luis Miguel,Vivo,album,True,True
Sabor a Mi,Luis Miguel,Romances,album,True,True
CUFF IT,Beyoncé,RENAISSANCE,album,False,False
Crazy In Love (feat. Jay-Z),Beyoncé,Dangerously In Love,album,True,True
ALIEN SUPERSTAR,Beyoncé,RENAISSANCE,album,True,True
BREAK MY SOUL,Beyoncé,RENAISSANCE,album,False,False
Halo,Beyoncé,I AM...SASHA FIERCE,album,True,True
Love On Top,Beyoncé,4,album,True,True
ENERGY (feat. Beam),Beyoncé,RENAISSANCE,album,True,True
Perfect Duet (Ed Sheeran & Beyoncé),Beyoncé,Perfect Duet (Ed Sheeran & Beyoncé),single,True,True
Drunk in Love (feat. Jay-Z),Beyoncé,BEYONCÉ [Platinum Edition],album,True,True
Run the World (Girls),Beyoncé,4,album,True,True
ULALA (OOH LA LA),Daddy Yankee,ULALA (OOH LA LA),single,False,True
La Santa,Daddy Yankee,YHLQMDLG,album,False,False
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),album,False,False
X ÚLTIMA VEZ,Daddy Yankee,LEGENDADDY,album,False,True
"Lo Que Pasó, Pasó",Daddy Yankee,Barrio Fino (Bonus Track Version),album,False,False
Despacito,Daddy Yankee,VIDA,album,True,True
Con Calma,Daddy Yankee,Con Calma,single,False,True
Tu Príncipe,Daddy Yankee,Barrio Fino (Bonus Track Version),album,False,False
Llamado de Emergencia,Daddy Yankee,Talento de Barrio,album,False,False
Ella Me Levanto,Daddy Yankee,El Cartel: The Big Boss,album,False,False
Used (feat. Don Toliver),Don Toliver,SOS,album,True,True
No Idea,Don Toliver,Heaven Or Hell,album,True,True
After Party,Don Toliver,Heaven Or Hell,album,True,True
"Lemonade (feat. Gunna, Don Toliver & NAV)",Don Toliver,B4 The Storm,album,False,False
Do It Right,Don Toliver,Do It Right,single,True,True
Cardigan,Don Toliver,Heaven Or Hell,album,True,True
Honest (feat. Don Toliver),Don Toliver,Honest,single,True,True
Mystery Lady,Don Toliver,Studying Abroad: Extended Stay,album,True,True
Drugs N Hella Melodies (feat. Kali Uchis),Don Toliver,Life of a DON,album,True,True
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),Don Toliver,It's Almost Dry,album,False,False
La Mitad,Camilo,Por Primera Vez,album,True,True
KESI - Remix,Camilo,KESI (Remix),single,False,False
Desconocidos,Camilo,Para Aventuras y Curiosidades,album,True,True
Aeropuerto,Camilo,De Adentro Pa Afuera,album,True,True
Índigo,Camilo,De Adentro Pa Afuera,album,True,True
Si Me Dices Que Sí,Camilo,Si Me Dices Que Sí,single,True,True
El Mismo Aire - con Pablo Alborán,Camilo,El Mismo Aire (con Pablo Alborán),single,True,True
Bebiendo Sola,Camilo,De Adentro Pa Afuera,album,True,True
