Id,Artist,Track,Album,Album_type,Uri,Danceability_x,Energy_x,Key,Loudness,Speechiness_x,Acousticness_x,Instrumentalness,Liveness_x,Valence_x,Tempo,Duration_ms,Title_x,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Album Name,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Index,Title_y,Top Genre,Year,Beats Per Minute (BPM),Energy_y,Danceability_y,Loudness (dB),Liveness_y,Valence_y,Length (Duration),Acousticness_y,Speechiness_y,Popularity
113,P!nk,try,The Truth About Love,album,spotify:track:1jF7IL57ayN4Ity3jQqGu0,0.674,0.628,2.0,-7.079,0.03,0.00144,0.0,0.0944,0.552,103.998,247907.0,P!nk - Try (Official Video),PinkVEVO,534286492.0,2554163.0,78435.0,True,True,476783121.0,NRJ Hit List 2012 Vol 2,1/1/2012,USRC11200785,"3,955",21.5,"662,971,898","94,974","33,907,759",74.0,"990,716,604","4,801,576","626,315","63,289,716","689,599,858","267,410,979",57.0,"136,141",82,38.0,"415,220",30.0,"217,677,468","122,110",,"4,968",,0,488,try,dance pop,2012,104,63,67,-7,9,55,248,0,3,73
115,P!nk,what about us,Beautiful Trauma,album,spotify:track:0Qh38w01QRXK6KHIv0e3hb,0.491,0.588,1.0,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600.0,P!NK - What About Us (Official Video),PinkVEVO,339837769.0,1819636.0,38357.0,True,True,662431775.0,What About Us,8/10/2017,USRC11701586,"2,765",26.7,"788,403,596","79,260","39,889,584",70.0,"508,358,793","3,107,893","38,617","22,964,606","215,488,504","97,454,332",117.0,"127,448",51,68.0,"904,824",34.0,"240,715,082","66,928",,"8,147,466",,0,687,what about us,dance pop,2017,114,59,49,-6,9,19,270,3,5,76
121,Eminem,without me,The Eminem Show,album,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7.0,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,Eminem - Without Me (Official Music Video),EminemVEVO,1590485349.0,11469490.0,341006.0,True,True,1457351902.0,Suicide Squad: The Album (Collector's Edition),8/4/2016,USAT21602011,"1,696",35.5,"2,146,682,342","7,361","1,065,772",,"1,938,496,621","13,961,810",,,,"509,617,644",,,,,,,,,,,,1,10,without me,detroit hip hop,2002,112,67,91,-3,24,66,290,0,7,82
121,Eminem,without me,The Eminem Show,album,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7.0,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,Eminem - Without Me (Official Music Video),EminemVEVO,1590485349.0,11469490.0,341006.0,True,True,1457351902.0,The Source - Hip Hop Hits Vol. 6,1/1/2002,USIR10211038,"3,210",24.3,"2,146,682,342","397,228","83,160,830",83.0,"347,730,526","3,552,978","761,633","27,141,268","177,890,147","22,608,265",118.0,"2,668",69,83.0,"2,953,010",38.0,"424,694,899","223,248","36,224,403","13,371,463",,1,10,without me,detroit hip hop,2002,112,67,91,-3,24,66,290,0,7,82
122,Eminem,the real slim shady,The Marshall Mathers LP,album,spotify:track:3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5.0,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,Eminem - The Real Slim Shady (Official Video - Clean Version),EminemVEVO,777507160.0,6489755.0,169037.0,True,True,1232567233.0,The Source Hip-Hop Hits Vol. 4,1/1/2000,USIR10000448,"2,796",26.5,"1,798,020,679","352,947","75,283,550",81.0,"961,666,231","7,927,293","74,682","86,740,640","771,015,965","568,968,886",93.0,"70,311",82,68.0,"2,765,272",46.0,"508,575,450","1,263,577","1,131,521","6,637,985",,1,193,the real slim shady,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
130,Pharrell Williams,"happy - from ""despicable me 2""",G I R L,album,spotify:track:60nZcImufyMA1MKQY3dcCH,0.647,0.822,5.0,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720.0,Pharrell Williams - Happy (from Despicable Me 2) [Ballroom Version],PharrellWilliamsVEVO,128396799.0,718507.0,14157.0,True,True,1143833476.0,538 Hitzone Best Of 2013,1/1/2013,USQ4E1300686,476,70.4,"1,379,786,786","204,118","68,556,599",75.0,"1,307,002,701","8,641,116","3,028,049","187,452,999","2,112,220,730","1,231,886,563",453.0,"304,081",,293.0,"1,837,708",117.0,"623,561,936","2,990,195",,"19,268,856",,0,573,"happy - from ""despicable me 2""",dance pop,2014,160,82,65,-5,9,96,233,22,18,80
252,Sia,chandelier,1000 Forms Of Fear (Deluxe Version),album,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1.0,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120.0,Sia - Chandelier (Official Video),SiaVEVO,2581536372.0,12476394.0,577131.0,True,True,1404231856.0,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,1/1/2014,USRC11400498,569,63.8,"1,729,264,620","171,065","77,207,881",75.0,"3,137,616,905","17,150,946","369,612","124,140,769","1,176,707,701","1,774,014,030",216.0,"244,316",257,151.0,"1,369,282",70.0,"409,374,508","528,134",,"19,192,527",,0,612,chandelier,australian dance,2015,117,79,40,-3,7,57,216,2,5,71
310,JAY-Z,ni**as in paris,Watch The Throne (Deluxe),album,spotify:track:4Li2WHPkuyCdtmokzW2007,0.789,0.858,1.0,-5.542,0.311,0.127,0.0,0.349,0.775,140.022,219333.0,Jay-Z & Kanye West - Ni**as In Paris (Explicit),KanyeWestVEVO,374189685.0,2521768.0,103200.0,True,True,1054470731.0,Watch the Throne (Deluxe),1/1/2011,USUM71111621,"2,899",25.9,"1,436,087,930","296,520","56,557,390",76.0,"444,307,904","3,150,622","37,473","21,427,059","199,117,216","16,347,538",159.0,"49,872",3,47.0,"70,698",51.0,"106,302,435","446,924",,"10,189,462",,1,466,ni**as in paris,east coast hip hop,2011,140,86,79,-6,35,77,219,13,32,77
311,JAY-Z,empire state of mind,The Blueprint 3,album,spotify:track:2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11.0,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585,276920.0,JAY-Z - Empire State Of Mind ft. Alicia Keys,JayZVEVO,95231588.0,833985.0,11631.0,True,True,678424384.0,The Blueprint 3,9/8/2009,USJZ10900031,"4,231",20.5,"1,021,647,566","253,182","78,527,028",77.0,"608,425,147","4,576,133","70,684","21,707,894","179,539,671","22,687,602",139.0,"2,996",,77.0,"1,163,334",43.0,,,,"13,107,981",,1,265,empire state of mind,east coast hip hop,2009,174,96,49,-2,46,81,277,3,39,77
312,JAY-Z,numb / encore,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,spotify:track:5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2.0,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,205733.0,Numb/Encore - Linkin Park ft. Jay Z (Unofficial Music Video),Neil Collins,47752493.0,219401.0,4024.0,False,False,778880225.0,Papercuts,4/12/2024,USWB12400678,30,256.0,"1,003,215,671",128,"485,454",,,,,,,,,,,,,,"179,867,721","87,209",,"4,474,248",,1,107,numb / encore,east coast hip hop,2004,107,79,69,-4,58,75,206,6,17,75
