Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Superman,1.0923935142936458,0.5568467698042695,4.0,0.9696415569610065,0.0564,0.0215,0.0,0.295,0.58,0.31836564975717224,350320.0
Till I Collapse,-0.442087975041795,0.987893535394022,1.0,0.948201311945706,0.186,0.0622,0.0,0.0816,0.1,1.7182794490866007,297787.0
Stan,0.9594856687606549,0.6177555518984738,6.0,0.7125751849088693,0.238,0.0371,2.34e-06,0.518,0.507,-1.3703183934513143,404107.0
Love The Way You Lie,0.7722064318732583,1.3533462279592474,10.0,0.5590283796982838,0.227,0.241,0.0,0.52,0.641,-1.1362333385465433,263373.0
Godzilla (feat. Juice WRLD),1.1286411085299162,0.5099938605010355,10.0,0.5100839819865879,0.342,0.145,0.0,0.292,0.829,1.534012668933437,210800.0
Sing For The Moment,0.28286390968361014,0.8801318439965837,5.0,0.7474426540751661,0.137,0.0017,3.05e-06,0.0426,0.185,1.4652675055380713,339547.0
Not Afraid,1.4125805967140328,1.4892196649386256,0.0,1.3915162770600487,0.264,0.529,0.0,0.205,0.668,-0.20185340382270534,248133.0
"Happy - From ""Despicable Me 2""",0.15599732985666412,0.870761262135937,5.0,0.639591724604261,0.183,0.219,0.0,0.0908,0.962,1.332035728692185,232720.0
Down In Atlanta,1.3884155338898525,0.8567053893449668,7.0,0.5289254094242761,0.212,0.337,0.000153,0.0658,0.903,-1.2658487277408543,164041.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",1.6421486935437446,0.5099938605010355,11.0,0.9767883052994398,0.0571,0.0642,0.0,0.0943,0.872,-0.6620809800049561,223413.0
Cash In Cash Out,1.5454884422470239,-0.35678496160879297,7.0,0.8368852923713181,0.0596,0.00721,1.45e-06,0.0839,0.154,-0.02150719346003451,216136.0
"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",1.1407236399420062,0.45377036933715464,9.0,0.276623536264428,0.0444,0.276,6.73e-06,0.288,0.9,0.18141609121340518,229283.0
Hit Different,0.34931783245010567,-0.5629377625430226,0.0,0.26947678792599444,0.0452,0.199,0.0,0.0965,0.716,-0.01802599787020054,202008.0
Neon Guts (feat. Pharrell Williams),1.436745659538213,-0.34272908881782327,1.0,0.21230280121852688,0.112,0.0541,0.0,0.0685,0.412,-0.022757720031140197,258789.0
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),1.2434251569447714,-0.30524676137523604,11.0,-0.07226772353000566,0.366,0.0195,0.0,0.166,0.62,0.7241784210886172,146419.0
Just A Cloud Away,1.6240248964256094,-0.8253140546411329,2.0,-0.11688075861234778,0.0359,0.432,0.0,0.11,0.677,-0.27215327592809424,176078.0
Frontin' (feat. Jay-Z) - Club Mix,1.6481899592497897,-1.0876903467392434,9.0,0.36866499213819226,0.13,0.453,1.57e-06,0.0801,0.759,-0.6285871467085905,236507.0
lovely (with Khalid),-1.6322173191326688,-1.5937017672141705,4.0,-0.5400548875001961,0.0333,0.934,0.0,0.095,0.12,-0.17991849180520653,200186.0
Numb,1.7569327419586005,0.6458672974804142,0.0,0.6372094751581164,0.0455,0.121,0.0127,0.101,0.632,-0.021676183537211256,155589.0
Silence,-0.6112434148110564,0.5849585153862099,4.0,0.9793871228770521,0.0853,0.256,4.96e-06,0.17,0.286,0.7220491461161948,180823.0
Young Dumb & Broke,1.0742697171755107,-0.45517607114558445,1.0,0.2738081505553482,0.0421,0.199,1.66e-05,0.165,0.394,0.5522817145847676,202547.0
Eastside (with Halsey & Khalid),0.0653783442659884,0.23356169561195522,6.0,-0.01076237419318436,0.243,0.549,0.0,0.2,0.329,-1.0361912128581052,170770.0
Better,-0.15210722115163333,-0.3942672890513802,0.0,-0.5766549017182343,0.097,0.0765,0.334,0.104,0.112,-0.7658070893758402,229320.0
Location,0.6936699776946728,-0.8768522548746904,1.0,-0.8330715693759682,0.425,0.33,0.000162,0.0898,0.326,-1.3681891184788915,219080.0
8TEEN,1.2615489540629066,-0.23965268835070844,1.0,0.392704054731105,0.0366,0.225,0.00209,0.0576,0.642,-0.5264833420786,228600.0
Beautiful People (feat. Khalid),0.11370846991434878,0.050835349329342534,5.0,-0.10800146522217317,0.186,0.124,0.0,0.0801,0.546,-0.9337832260891973,197867.0
Love Lies (with Normani),0.5245145379254114,0.05552064025966594,6.0,0.43082004586941663,0.0449,0.0956,0.0,0.134,0.338,0.7891044087397967,201707.0
"Shakira: Bzrp Music Sessions, Vol. 53",0.9474031373485647,-0.019444014625508505,2.0,0.4364508172875765,0.0493,0.274,0.0,0.0915,0.498,0.05058397346342429,218289.0
Monotonía,1.5213233794228436,0.27572931398486533,0.0,0.7381302244220558,0.0459,0.419,1.23e-06,0.211,0.823,0.38379860763988066,158805.0
Te Felicito,0.44597808374682574,-0.0007028509042148949,5.0,0.6413242696560024,0.317,0.234,0.0,0.081,0.575,1.8092975046538176,172235.0
Hips Don't Lie (feat. Wyclef Jean),0.9474031373485647,0.8801318439965837,10.0,0.37321292289901353,0.0707,0.284,0.0,0.405,0.758,-0.6956762073476275,218093.0
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.8265778232276638,1.1003405177217838,2.0,0.2614637670616903,0.147,0.0062,0.0,0.0663,0.753,0.2158562689419589,202627.0
DON'T YOU WORRY,1.2675902197689517,1.0862846449308134,11.0,0.5053194830942989,0.0325,0.176,0.0,0.184,0.483,0.38406899176336323,194438.0
Dia de Enero,0.39764795809846604,-1.2891578567431496,10.0,-0.8605757220723638,0.0792,0.35,1.11e-05,0.11,0.526,1.5256307611054871,173133.0
Chantaje (feat. Maluma),1.3944567995958976,0.6411820065500907,8.0,1.0166368414894933,0.0776,0.187,3.05e-05,0.159,0.907,-0.6277421963227082,195840.0
Inevitable,-0.15814848685767838,-0.8206287637108096,6.0,-0.03696711810077363,0.0641,0.269,0.000149,0.123,0.338,-0.9676826355707864,192867.0
Antologia,1.315920345417312,-1.0923756376695666,0.0,-0.7457946123944927,0.0308,0.5,1.81e-06,0.0786,0.575,-0.765198725098005,254240.0
my ex's best friend (with blackbear),0.6634636491644474,0.1820234953783978,5.0,0.5373715665515155,0.0434,0.00473,0.0,0.141,0.298,0.1464013472224518,139461.0
I Think I'm OKAY (with YUNGBLUD & Travis Barker),0.041213281441808206,0.505308569570712,7.0,0.6274639092420708,0.0379,0.0257,0.0,0.313,0.277,-0.023197094231798575,169397.0
maybe (feat. Bring Me The Horizon),-0.1219008926214081,1.3299197733076304,5.0,0.6092721861987858,0.0505,0.000735,0.0,0.0998,0.537,-1.1015903727253782,170134.0
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0.19224492409293442,0.3834910053823036,3.0,0.5161478896676829,0.213,0.00413,0.0,0.0537,0.216,-1.303702505028371,202805.0
forget me too (feat. Halsey),0.19828618979897947,1.1190816814430773,1.0,0.5999597565456755,0.0744,0.000417,0.0086,0.194,0.522,-0.6973323101039566,171621.0
bloody valentine,-0.5327069606324707,1.0394317356275795,2.0,0.7370473837647173,0.0766,0.00021,0.0,0.148,0.506,1.333320053278725,205159.0
Bad Things (with Camila Cabello),0.4580606151589159,0.25698815026357175,2.0,0.6190177521148313,0.146,0.214,0.0,0.185,0.305,0.5828689185536988,239293.0
make up sex (feat. blackbear),0.26474011256547497,0.19607936816936802,5.0,0.7565385155968086,0.0315,0.00156,0.0,0.474,0.682,0.384575961994892,122570.0
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0.603050992103997,-0.019444014625508505,5.0,0.19930871333046593,0.0358,0.0693,0.0,0.291,0.296,-0.9649449963205283,144860.0
ay! (feat. Lil Wayne),0.729917571930943,-0.08972337858035954,2.0,0.20060812211927206,0.0345,0.05,5.92e-05,0.0711,0.491,0.8920869617711044,124188.0
X,-0.16418975256372342,0.5287350242223291,9.0,0.501854392990816,0.056,0.0338,0.00106,0.3,0.694,2.006272338610648,172854.0
El Perdón (with Enrique Iglesias),0.041213281441808206,0.2523028593332483,8.0,0.3866401470500098,0.0511,0.443,0.0,0.113,0.66,2.0042444576845306,205907.0
Bella y Sensual,0.08350214138412354,0.3600645507306866,11.0,0.15296313319638233,0.0937,0.228,0.0,0.0506,0.749,2.002757345005379,204701.0
"Nicky Jam: Bzrp Music Sessions, Vol. 41",0.03517201573576315,0.9972641172546688,1.0,0.9633610811484438,0.153,0.0913,0.0,0.145,0.818,-1.0376107295063872,158087.0
Cuaderno,0.36140036386219576,0.05552064025966594,1.0,0.5618437654073636,0.38,0.523,0.0,0.104,0.688,1.7376457119310182,286507.0
En La Cama (feat. Daddy Yankee),1.4125805967140328,1.2924374458650432,10.0,0.6027751422547553,0.145,0.183,0.0,0.122,0.885,-0.5588618408656013,157023.0
Si Te Preguntan...,0.8386603546397539,0.7817407344597929,8.0,1.028331520588748,0.0306,0.531,0.0,0.0555,0.922,0.5521803205384612,223074.0
Hasta el Amanecer,1.2736314854749966,-0.13189099695327017,6.0,0.34072770317886153,0.0385,0.282,0.0,0.0761,0.589,-0.8988360781291144,198707.0
Color Esperanza 2020,-0.1823135496818586,0.6974054977139715,9.0,-0.03306889173435543,0.161,0.161,0.0,0.126,0.785,-0.49363167107550504,217547.0
