Artist,Stream,Views,Likes,Comments,Licensed,official_video
Black Eyed Peas,18501860.0,43226385.0,242932.0,38381.0,True,True
Michael Jackson,1302677366.0,1300732161.0,9523245.0,508425.0,True,True
Michael Jackson,103974637.0,545655.0,7314.0,386.0,False,False
Michael Jackson,826832314.0,905692299.0,6656468.0,259358.0,True,True
Michael Jackson,526030670.0,84652754.0,672624.0,25952.0,False,False
Michael Jackson,346137424.0,301845823.0,2269865.0,87490.0,True,True
Michael Jackson,389644450.0,349102050.0,2254295.0,89160.0,True,True
Michael Jackson,256361972.0,978680025.0,8312571.0,335112.0,True,True
Michael Jackson,224254298.0,504057332.0,3085718.0,127080.0,True,True
Michael Jackson,349629692.0,436325398.0,2515830.0,94765.0,True,True
Michael Jackson,280500270.0,343328494.0,2121502.0,53821.0,True,True
P!nk,995490565.0,1518313784.0,6420621.0,166423.0,True,True
P!nk,34361626.0,10941241.0,216805.0,7540.0,True,True
P!nk,502735560.0,237232986.0,1026177.0,47667.0,True,True
P!nk,476783121.0,534286492.0,2554163.0,78435.0,True,True
P!nk,471672024.0,432775314.0,2187945.0,60960.0,True,True
P!nk,662431775.0,339837769.0,1819636.0,38357.0,True,True
P!nk,346097538.0,80575503.0,948515.0,24233.0,True,True
P!nk,2790105.0,3309247.0,146755.0,5707.0,True,True
P!nk,219363750.0,168736063.0,611231.0,20095.0,True,True
P!nk,170002964.0,149977268.0,938718.0,31361.0,True,True
Eminem,908006704.0,719661717.0,5550929.0,205147.0,True,True
Eminem,1457351902.0,1590485349.0,11469490.0,341006.0,True,True
Eminem,1232567233.0,777507160.0,6489755.0,169037.0,True,True
Eminem,466021760.0,139257221.0,950561.0,35404.0,True,True
Eminem,1548871694.0,1931315.0,18992.0,291.0,False,False
Eminem,799979337.0,623027280.0,5152714.0,199113.0,True,True
Eminem,1115478746.0,2539156924.0,12696568.0,599124.0,True,True
Eminem,1072650382.0,547039623.0,9287567.0,398333.0,False,False
Eminem,357737050.0,454015875.0,2471743.0,99418.0,True,True
Eminem,789922926.0,1727241246.0,11425215.0,872181.0,True,True
Pharrell Williams,1143833476.0,128396799.0,718507.0,14157.0,True,True
Pharrell Williams,42006396.0,3658044.0,88925.0,2271.0,True,True
Pharrell Williams,981287133.0,673495248.0,4097957.0,105475.0,True,True
Pharrell Williams,104603335.0,20392451.0,560857.0,16545.0,True,True
Pharrell Williams,99934776.0,26641550.0,315368.0,9132.0,True,True
Pharrell Williams,198332490.0,121559320.0,1081676.0,36266.0,True,True
Pharrell Williams,219355874.0,35793144.0,431472.0,11252.0,True,True
Pharrell Williams,99577335.0,11408003.0,477302.0,12628.0,False,True
Pharrell Williams,105629259.0,2672481.0,63065.0,75.0,True,True
Pharrell Williams,114177468.0,59095041.0,433116.0,13530.0,True,True
Khalid,2110573779.0,1721382178.0,24425840.0,561909.0,True,True
Khalid,203066841.0,25212794.0,418647.0,7041.0,True,True
Khalid,1322057199.0,129183587.0,1480652.0,37678.0,False,True
Khalid,1290687019.0,886349984.0,5968729.0,147072.0,True,True
Khalid,1424962511.0,632400004.0,2781127.0,34795.0,False,True
Khalid,1143264716.0,860718114.0,4030063.0,68320.0,True,True
Khalid,1221083395.0,544666810.0,3251468.0,61104.0,True,True
Khalid,586480399.0,1381628.0,12115.0,158.0,True,True
Khalid,1241240312.0,353454004.0,2754251.0,54867.0,True,True
Khalid,843423744.0,243497172.0,1758555.0,28321.0,True,True
Shakira,196761853.0,252068988.0,9415668.0,525670.0,True,True
Shakira,220692224.0,189132077.0,3670104.0,161071.0,True,True
Shakira,473003231.0,460717876.0,3361051.0,155635.0,True,True
Shakira,1164605089.0,1214508056.0,6540184.0,223326.0,True,True
Shakira,629918488.0,3463816330.0,20327883.0,1283529.0,True,True
Shakira,162685755.0,144690551.0,1327396.0,57072.0,True,True
Shakira,138360843.0,151765834.0,507258.0,20625.0,True,True
Shakira,859799057.0,2805793003.0,10370533.0,404270.0,True,True
