Track,Artist,Stream,Views
Cover Me In Sunshine,P!nk,346097538.0,80575503.0
TRUSTFALL,P!nk,2790105.0,3309247.0
Who Knew,P!nk,219363750.0,168736063.0
True Love (feat. Lily Allen),P!nk,170002964.0,149977268.0
Mockingbird,Eminem,908006704.0,719661717.0
Without Me,Eminem,1457351902.0,1590485349.0
The Real Slim Shady,Eminem,,777507160.0
Superman,Eminem,466021760.0,139257221.0
Till I Collapse,Eminem,1548871694.0,1931315.0
Stan,Eminem,799979337.0,623027280.0
Love The Way You Lie,Eminem,1115478746.0,2539156924.0
Godzilla (feat. Juice WRLD),Eminem,1072650382.0,547039623.0
Sing For The Moment,Eminem,357737050.0,454015875.0
Not Afraid,Eminem,789922926.0,1727241246.0
"Happy - From ""Despicable Me 2""",Pharrell Williams,1143833476.0,128396799.0
Down In Atlanta,Pharrell Williams,42006396.0,3658044.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Pharrell Williams,981287133.0,673495248.0
Cash In Cash Out,Pharrell Williams,104603335.0,20392451.0
"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Pharrell Williams,99934776.0,26641550.0
Hit Different,Pharrell Williams,198332490.0,121559320.0
Neon Guts (feat. Pharrell Williams),Pharrell Williams,219355874.0,35793144.0
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),Pharrell Williams,99577335.0,11408003.0
Just A Cloud Away,Pharrell Williams,105629259.0,2672481.0
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,114177468.0,59095041.0
lovely (with Khalid),Khalid,2110573779.0,1721382178.0
Numb,Khalid,203066841.0,25212794.0
Silence,Khalid,1322057199.0,129183587.0
Young Dumb & Broke,Khalid,1290687019.0,886349984.0
Eastside (with Halsey & Khalid),Khalid,1424962511.0,632400004.0
Better,Khalid,1143264716.0,860718114.0
Location,Khalid,1221083395.0,544666810.0
8TEEN,Khalid,586480399.0,1381628.0
Beautiful People (feat. Khalid),Khalid,1241240312.0,353454004.0
Love Lies (with Normani),Khalid,843423744.0,243497172.0
"Shakira: Bzrp Music Sessions, Vol. 53",Shakira,,252068988.0
Monotonía,Shakira,,189132077.0
Te Felicito,Shakira,473003231.0,460717876.0
Hips Don't Lie (feat. Wyclef Jean),Shakira,,1214508056.0
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,629918488.0,3463816330.0
DON'T YOU WORRY,Shakira,162685755.0,144690551.0
Dia de Enero,Shakira,138360843.0,151765834.0
Chantaje (feat. Maluma),Shakira,859799057.0,2805793003.0
Inevitable,Shakira,220084336.0,135287306.0
Antologia,Shakira,229134152.0,359765.0
my ex's best friend (with blackbear),Machine Gun Kelly,574531280.0,102439463.0
I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,426759364.0,111974897.0
maybe (feat. Bring Me The Horizon),Machine Gun Kelly,90825980.0,20170299.0
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,,206242355.0
forget me too (feat. Halsey),Machine Gun Kelly,,68116200.0
bloody valentine,Machine Gun Kelly,,117833946.0
Bad Things (with Camila Cabello),Machine Gun Kelly,615784555.0,449712619.0
make up sex (feat. blackbear),Machine Gun Kelly,67878913.0,15391210.0
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",Machine Gun Kelly,,35856519.0
ay! (feat. Lil Wayne),Machine Gun Kelly,62736773.0,19671018.0
X,Nicky Jam,865695837.0,2133459242.0
El Perdón (with Enrique Iglesias),Nicky Jam,765561212.0,1381668642.0
Bella y Sensual,Nicky Jam,418186764.0,736730327.0
"Nicky Jam: Bzrp Music Sessions, Vol. 41",Nicky Jam,185931694.0,592005.0
Cuaderno,Nicky Jam,350576786.0,321420163.0
En La Cama (feat. Daddy Yankee),Nicky Jam,136025763.0,115543124.0
Si Te Preguntan...,Nicky Jam,37382738.0,61711565.0
Hasta el Amanecer,Nicky Jam,479847676.0,1546036758.0
Color Esperanza 2020,Nicky Jam,89466323.0,24706293.0
Here Comes The Sun - Remastered 2009,The Beatles,942898131.0,114971785.0
Let It Be - Remastered 2009,The Beatles,526788025.0,131925109.0
Come Together - Remastered 2009,The Beatles,574936342.0,31607772.0
Yesterday - Remastered 2009,The Beatles,,42856675.0
Twist And Shout - Remastered 2009,The Beatles,341963190.0,53228361.0
Blackbird - Remastered 2009,The Beatles,326733164.0,33852949.0
In My Life - Remastered 2009,The Beatles,266426563.0,63223118.0
Hey Jude - Remastered 2015,The Beatles,,56888766.0
I Want To Hold Your Hand - Remastered 2015,The Beatles,334903879.0,28799448.0
Something - Remastered 2009,The Beatles,,96849734.0
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,777641580.0,1007596168.0
Timber (feat. Ke$ha),Pitbull,1120973873.0,1405539965.0
Time of Our Lives,Pitbull,981156901.0,253293371.0
Feel This Moment (feat. Christina Aguilera),Pitbull,481224452.0,704875181.0
International Love (feat. Chris Brown),Pitbull,347393726.0,866480662.0
Fireball (feat. John Ryan),Pitbull,424022714.0,307624507.0
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Pitbull,222056078.0,894756316.0
Hotel Room Service,Pitbull,374912951.0,313590021.0
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,193172998.0,300032949.0
HOT,Pitbull,52166142.0,52214351.0
No Lie,Sean Paul,851711837.0,1120854023.0
Temperature,Sean Paul,590578908.0,361314925.0
Go Down Deh (feat. Shaggy and Sean Paul),Sean Paul,122450231.0,165860569.0
Get Busy,Sean Paul,381155556.0,208573237.0
She Doesn't Mind,Sean Paul,266413452.0,505918510.0
Give It Up to Me,Sean Paul,49412471.0,306887054.0
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul,51339097.0,306887054.0
I'm Still in Love with You (feat. Sasha),Sean Paul,176824685.0,314611933.0
UP,Sean Paul,47517159.0,81787112.0
Contra La Pared,Sean Paul,336056798.0,256405663.0
Can't Help Falling in Love,Elvis Presley,642724292.0,363854960.0
Blue Christmas,Elvis Presley,293604060.0,46348788.0
Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,,282465.0
Suspicious Minds,Elvis Presley,,7484414.0
Burning Love,Elvis Presley,,3649438.0
Always On My Mind,Elvis Presley,126445901.0,12982178.0
If I Can Dream,Elvis Presley,19601041.0,43935538.0
(You're The) Devil in Disguise,Elvis Presley,107417556.0,14332854.0
Hit 'Em Up - Single Version,2Pac,375955728.0,585712131.0
Ambitionz Az A Ridah,2Pac,578493150.0,89682.0
California Love - Original Version,2Pac,497213287.0,84654029.0
All Eyez On Me (ft. Big Syke),2Pac,,14035099.0
Do For Love,2Pac,213745248.0,1276815.0
Changes,2Pac,411056377.0,306542.0
Dear Mama,2Pac,,381061439.0
Keep Ya Head Up,2Pac,211103197.0,5434057.0
2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),2Pac,178709066.0,18949722.0
Can't C Me,2Pac,117899041.0,1002891.0
Bad Decisions (with BTS & Snoop Dogg),Snoop Dogg,172373567.0,48725891.0
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,1138123751.0,726601997.0
Drop It Like It's Hot,Snoop Dogg,466458137.0,242845147.0
"That's My N**** (with Meek Mill, YG & Snoop Dogg)",Snoop Dogg,248359900.0,14272788.0
From The D 2 The LBC (with Snoop Dogg),Snoop Dogg,46192225.0,70515275.0
Sweat - Remix,Snoop Dogg,,237582702.0
Beautiful,Snoop Dogg,,202432469.0
I Wanna Fuck You,Snoop Dogg,82111629.0,31364.0
Qué Maldición,Snoop Dogg,124225906.0,84170696.0
Love Me,Lil Wayne,,475532733.0
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,1004661276.0,788318126.0
Mirror,Lil Wayne,417139141.0,764982505.0
Forever,Lil Wayne,461843097.0,351589402.0
6 Foot 7 Foot,Lil Wayne,404959319.0,180051134.0
