track,artist,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,stream,views,likes,comments,tiktok_views,tiktok_posts,release_date,tiktok_likes
the unforgiven (remastered),metallica,metallica (remastered),0.531,0.583,7.0,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,387.16,,426125708.0,1781690.0,46392.0,,,,
one (remastered),metallica,...and justice for all (remastered deluxe box set),0.438,0.687,7.0,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,446.146,,524.0,18.0,1.0,,,,
for whom the bell tolls (remastered),metallica,ride the lightning (deluxe remaster),0.512,0.86,0.0,-6.145,0.0703,0.00631,0.00528,0.0652,0.258,117.909,309.973,,23666398.0,274106.0,667.0,,,,
lux ãterna,metallica,lux ãterna,0.386,0.996,11.0,-2.96,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,205.68,20061385.0,14937918.0,473751.0,46230.0,,,,
sad but true (remastered),metallica,metallica (remastered),0.624,0.876,7.0,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,324.6,,72737062.0,418124.0,15110.0,,,,
screaming suicide,metallica,screaming suicide,0.425,0.972,4.0,-3.448,0.045,2.42e-05,0.0202,0.239,0.282,101.125,330.453,3905429.0,4317758.0,217109.0,17225.0,,,,
yellow,coldplay,parachutes,0.429,0.661,11.0,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,266.773,1483622308.0,832532409.0,4600933.0,118296.0,,,,
sparks,coldplay,parachutes,0.371,0.268,1.0,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227.093,475353044.0,73201019.0,787343.0,1637.0,,,,
something just like this,coldplay,memories...do not open,0.617,0.635,11.0,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247.16,2030825694.0,2118018686.0,10282499.0,270444.0,,,,
hymn for the weekend,coldplay,a head full of dreams,0.491,0.693,0.0,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258.267,1049654852.0,1828242112.0,13515772.0,377666.0,,,,
fix you,coldplay,x&y,0.209,0.417,3.0,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295.533,1115171056.0,566239229.0,2962029.0,114460.0,,,,
get lucky (feat. pharrell williams & nile rodgers) - radio edit,daft punk,get lucky (feat. pharrell williams & nile rodgers) [radio edit],0.794,0.811,6.0,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248.413,844698895.0,32310867.0,956073.0,19646.0,,,,
one more time,daft punk,discovery,0.613,0.697,2.0,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,320.357,471747761.0,432177586.0,2707992.0,110189.0,,,,
get lucky (feat. pharrell williams & nile rodgers),daft punk,random access memories,0.81,0.793,6.0,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,369.627,400304719.0,32310867.0,956073.0,19646.0,,,,
around the world,daft punk,homework,0.956,0.795,7.0,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429.533,293417547.0,38218353.0,466569.0,11904.0,,,,
"harder, better, faster, stronger",daft punk,discovery,0.817,0.716,6.0,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,224.693,292668007.0,121308880.0,1329678.0,70754.0,,,,
something about us,daft punk,discovery,0.875,0.475,9.0,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,232.667,185381876.0,77464307.0,723914.0,23915.0,,,,
lose yourself to dance (feat. pharrell williams),daft punk,random access memories,0.832,0.659,10.0,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,353.893,274711166.0,195983803.0,1115598.0,37436.0,,,,
veridis quo,daft punk,discovery,0.605,0.687,9.0,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,345.187,90589464.0,23984070.0,216822.0,7260.0,,,,
digital love,daft punk,discovery,0.644,0.664,9.0,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,301.373,115484456.0,30079390.0,203063.0,8957.0,,,,
what i've done,linkin park,minutes to midnight,0.623,0.93,5.0,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205.613,589294152.0,587927093.0,3370635.0,148741.0,,,,
numb / encore,linkin park,numb / encore: mtv ultimate mash-ups presents collision course,0.687,0.793,2.0,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,205.733,778880225.0,44436981.0,226771.0,9260.0,,,,
bleed it out,linkin park,minutes to midnight,0.529,0.967,1.0,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127,166.373,388331061.0,135176149.0,762715.0,27609.0,,,,
burn it down,linkin park,living things,0.585,0.972,9.0,-4.45,0.0534,0.0143,0.0,0.0707,0.585,110.006,230.253,368132993.0,353135986.0,2534190.0,113567.0,,,,
creep,radiohead,pablo honey,0.515,0.43,7.0,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238.64,1101854725.0,763497849.0,4777393.0,147276.0,,,,
no surprises,radiohead,ok computer,0.255,0.393,5.0,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,229.12,379349681.0,167847274.0,1274934.0,40034.0,,,,
karma police,radiohead,ok computer,0.36,0.501,7.0,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264.067,382823305.0,89246405.0,593396.0,17682.0,,,,
high and dry,radiohead,the bends,0.419,0.383,4.0,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257.48,291096318.0,80290.0,2133.0,238.0,,,,
exit music (for a film),radiohead,ok computer,0.293,0.276,4.0,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,267.187,146857863.0,10644157.0,171322.0,1669.0,,,,
weird fishes/ arpeggi,radiohead,in rainbows,0.531,0.61,11.0,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,318.187,121688699.0,15335499.0,125774.0,4852.0,,,,
jigsaw falling into place,radiohead,in rainbows,0.462,0.832,11.0,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,248.893,79367881.0,26398730.0,180969.0,8010.0,,,,
fake plastic trees,radiohead,the bends,0.463,0.229,2.0,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,290.707,219867047.0,61340263.0,398951.0,15400.0,,,,
just,radiohead,the bends,0.291,0.767,7.0,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,234.8,88945336.0,15041854.0,146328.0,6899.0,,,,
nude,radiohead,in rainbows,0.516,0.342,4.0,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,255.387,86388469.0,12205514.0,124486.0,4536.0,,,,
highway to hell,ac/dc,highway to hell,0.574,0.913,6.0,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208.4,1143164505.0,274830901.0,2039258.0,44487.0,,,,
thunderstruck,ac/dc,the razors edge,0.502,0.89,4.0,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292.88,1088388556.0,1224226060.0,5989128.0,153047.0,,,,
back in black,ac/dc,back in black,0.31,0.7,9.0,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255.493,1182379398.0,915158054.0,5643694.0,134549.0,,,,
you shook me all night long,ac/dc,back in black,0.532,0.767,7.0,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210.173,802076123.0,279117834.0,1348845.0,26645.0,,,,
t.n.t.,ac/dc,high voltage,0.754,0.759,9.0,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214.667,526521070.0,240908491.0,934797.0,19584.0,,,,
hells bells,ac/dc,back in black,0.389,0.873,4.0,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,312.293,296521772.0,252038354.0,1067479.0,29353.0,,,,
dirty deeds done dirt cheap,ac/dc,dirty deeds done dirt cheap,0.668,0.906,11.0,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231.933,269837425.0,852728.0,14044.0,1029.0,,,,
shoot to thrill,ac/dc,back in black,0.457,0.904,2.0,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,317.427,292026041.0,172293392.0,642344.0,17673.0,,,,
it's a long way to the top (if you wanna rock 'n' roll),ac/dc,high voltage,0.456,0.863,3.0,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,301.227,196347993.0,102527.0,1881.0,240.0,,,,
rock n roll train,ac/dc,black ice,0.547,0.931,2.0,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,261.507,144143014.0,18237531.0,119749.0,2251.0,,,,
where is the love?,black eyed peas,elephunk,0.834,0.699,5.0,-3.222,0.178,0.111,0.0,0.131,0.809,94.086,272.533,752091441.0,888076529.0,4899065.0,180386.0,,,,
